,Unnamed: 0.1,Job Title,Company,location,site,jobtype,health_insurance,Dental_insurance,years of experience,benefits_401k,stocks,date_posted,lower_limit_salary,upper_limit_salary
149,149,Lead Quantitative Risk Analyst,Earnest,Anywhere • via LinkedIn,LinkedIn,Full-time,1,1,6,1,1,16,191000,216000.0
151,151,"Lead Product Researcher, Quantitative",Snap Inc.,San Francisco,LinkedIn,Full-time,1,0,6,0,0,18,168000,252000.0
154,154,Sr. Staff Quantitative Product Researcher,Pinterest,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,0,0,7,0,1,10,158950,327000.0
156,156,"Senior Quantitative Researcher at Russell Tobin Menlo Park, CA",Russell Tobin,Menlo Park,Pocahontas County Assessor's Office,Full-time,1,1,5,1,1,2,153600,176640.0
157,157,Lead Quantitative Analyst,Unreal Gigs,San Francisco,Jooble,Full-time,1,1,8,1,1,4,170000,230000.0
159,159,Quantitative Researcher / Modeler,Moody’s Corporation,San Francisco,Karkidi,Full-time,0,0,0,1,1,30,120000,190000.0
161,161,Senior Quantitative User Researcher,Mozilla Corporation,Anywhere • via Karkidi,Karkidi,Full-time,0,0,0,0,1,30,126000,246000.0
163,163,Book Portfolio Manager,WorldQuant,San Francisco,LinkedIn,Full-time,1,1,2,1,1,20,150000,200000.0
165,165,User Research Data Analyst,Tik Tok,Mountain View,JobzMall,Full-time,0,0,0,1,0,30,87000,122000.0
167,167,Business Intelligence Analyst,Apple,Cupertino,Careers At Apple,Full-time,1,1,3,0,1,24,180128,201300.0
168,168,"Business Intelligence/Data Analyst, Customer Success",Block,San Francisco,LinkedIn,Full-time,0,0,3,0,1,2,111700,167500.0
172,172,Business Intelligence Senior Analyst,City National Bank,San Francisco,City National Bank,Full-time,0,0,6,0,0,30,92114,156880.0
173,173,Business Intelligence Analyst,SLAC National Accelerator Laboratory,Menlo Park,Indeed,Full-time,0,0,0,0,1,16,151680,362880.0
174,174,Business Intelligence Analyst / Job Req 604260037,ALAMEDA ALLIANCE FOR HEALTH,Alameda,Glassdoor,Full-time,0,0,0,0,1,30,853,303360.0
175,175,Business Intelligence Analyst 3: 24-02026,Akraya Inc.,Santa Clara,Akraya,Contractor,0,0,5,0,0,30,115200,124800.0
176,176,Data & Business Intelligence Analyst,Candidate Portal,Anywhere • via ZipRecruiter,ZipRecruiter,Full-time,1,1,7,0,0,17,94080,111360.0
181,181,Growth Architect - Business Intelligence Analyst,GlacierGrid,San Francisco,ZipRecruiter,Full-time,0,0,3,0,1,2,158642,158642.0
182,182,"Business Intelligence Analyst, Trust & Safety - USDS",TikTok,Mountain View,Indeed,Full-time,1,1,0,0,1,30,400,339840.0
